"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,538.570","1,549.000","1,552.500","1,538.570","","0.00%"
"12/29/2024","1,538.570","1,549.000","1,549.000","1,538.570","","-0.03%"
"12/27/2024","1,539.000","1,538.570","1,559.500","1,532.285","","0.09%"
"12/26/2024","1,537.570","1,538.570","1,538.570","1,538.570","","0.12%"
"12/25/2024","1,535.720","1,535.720","1,535.720","1,535.720","","-0.15%"
"12/24/2024","1,538.070","1,548.070","1,548.070","1,536.720","","0.00%"
"12/23/2024","1,538.070","1,537.430","1,560.000","1,531.465","","0.00%"
"12/20/2024","1,538.070","1,551.430","1,551.430","1,537.430","","-0.22%"
"12/19/2024","1,541.430","1,555.450","1,555.450","1,534.110","","-0.26%"
"12/18/2024","1,545.450","1,556.750","1,637.500","1,527.275","","-0.08%"
"12/17/2024","1,546.750","1,533.270","1,556.750","1,533.270","","0.95%"
"12/16/2024","1,532.270","1,534.600","1,556.800","1,529.635","","-0.47%"
"12/13/2024","1,539.500","1,547.450","1,549.500","1,533.090","","0.13%"
"12/12/2024","1,537.450","1,549.290","1,562.145","1,526.555","","-0.12%"
"12/11/2024","1,539.290","1,547.500","1,557.000","1,526.555","","0.12%"
"12/10/2024","1,537.500","1,542.470","1,547.500","1,533.615","","0.33%"
"12/09/2024","1,532.470","1,588.790","1,707.500","1,485.000","","-0.65%"
"12/06/2024","1,542.500","1,605.300","1,652.730","1,535.000","","-3.31%"
"12/05/2024","1,595.300","1,628.620","1,640.340","1,550.000","","-1.44%"
"12/04/2024","1,618.620","1,658.360","1,680.260","1,612.500","","-1.80%"
"12/03/2024","1,648.360","1,672.920","1,682.090","1,640.000","","-0.76%"
"12/02/2024","1,660.920","1,682.890","1,700.000","1,652.700","","-0.60%"
"11/29/2024","1,670.890","1,682.890","1,689.630","1,642.500","","0.00%"
"11/28/2024","1,670.890","1,689.660","1,690.190","1,620.000","","-0.40%"
"11/27/2024","1,677.660","1,689.530","1,698.610","1,679.125","","0.01%"
"11/26/2024","1,677.530","1,681.260","1,705.000","1,665.990","","0.50%"
"11/25/2024","1,669.260","1,688.780","1,713.890","1,650.000","","-0.72%"
"11/22/2024","1,681.390","1,693.360","1,703.890","1,675.600","","0.00%"
"11/21/2024","1,681.360","1,681.070","1,693.360","1,672.835","","0.74%"
"11/20/2024","1,669.070","1,678.690","1,717.500","1,671.645","","0.14%"
"11/19/2024","1,666.690","1,676.950","1,708.610","1,650.000","","0.10%"
"11/18/2024","1,664.950","1,658.930","1,697.500","1,657.280","","0.62%"
"11/15/2024","1,654.630","1,679.910","1,689.740","1,635.000","","-0.80%"
"11/14/2024","1,667.910","1,679.910","1,691.285","1,677.285","","0.00%"
"11/13/2024","1,667.910","1,675.350","1,717.500","1,675.350","","0.27%"
"11/12/2024","1,663.350","1,673.150","1,679.310","1,645.000","","0.13%"
"11/11/2024","1,661.150","1,665.840","1,717.500","1,635.000","","0.00%"
"11/08/2024","1,661.150","1,678.050","1,707.705","1,650.000","","-0.29%"
"11/07/2024","1,666.050","1,671.800","1,717.500","1,650.000","","0.38%"
"11/06/2024","1,659.800","1,661.510","1,682.050","1,657.935","","0.62%"
"11/05/2024","1,649.510","1,666.410","1,690.205","1,638.180","","1.93%"
"11/04/2024","1,618.260","1,651.440","1,697.500","1,634.130","","0.00%"
"11/01/2024","1,618.260","1,643.260","1,664.390","1,635.220","","0.00%"
"10/31/2024","1,618.260","1,643.260","1,666.180","1,635.520","","0.00%"
"10/30/2024","1,618.260","1,643.260","1,672.050","1,629.130","","0.00%"
"10/29/2024","1,618.260","1,643.260","1,687.050","1,642.050","","0.00%"
"10/28/2024","1,618.260","1,643.260","1,677.500","1,626.130","","0.00%"
"10/25/2024","1,618.260","1,643.260","1,677.830","1,627.475","","0.00%"
"10/24/2024","1,618.260","1,643.260","1,660.330","1,629.800","","0.00%"
"10/23/2024","1,618.260","1,643.260","1,653.800","1,624.130","","0.00%"
"10/22/2024","1,618.260","1,643.260","1,659.995","1,629.670","","0.00%"
"10/21/2024","1,618.260","1,652.730","1,670.865","1,627.500","","0.51%"
"10/18/2024","1,610.000","1,635.000","1,656.080","1,631.865","","0.00%"
"10/17/2024","1,610.000","1,635.000","1,669.845","1,622.500","","0.00%"
"10/16/2024","1,610.000","1,635.000","1,672.345","1,603.080","","0.00%"
"10/15/2024","1,610.000","1,635.000","1,657.500","1,602.040","","0.00%"
"10/14/2024","1,610.000","1,626.330","1,642.665","1,611.165","","0.94%"
"10/11/2024","1,595.000","1,620.000","1,636.095","1,611.165","","0.00%"
"10/10/2024","1,595.000","1,620.000","1,638.595","1,590.690","","0.00%"
"10/09/2024","1,595.000","1,620.000","1,637.150","1,590.690","","0.00%"
"10/08/2024","1,595.000","1,620.000","1,657.860","1,610.000","","0.00%"
"10/07/2024","1,595.000","1,657.860","1,657.860","1,607.500","","0.00%"
"10/04/2024","1,595.000","1,645.000","1,663.555","1,605.000","","-1.54%"
"10/03/2024","1,620.000","1,668.970","1,690.055","1,601.530","","-1.46%"
"10/02/2024","1,643.970","1,668.970","1,668.970","1,601.530","","0.00%"
"10/01/2024","1,643.970","1,668.970","1,673.485","1,601.530","","0.00%"
"09/30/2024","1,643.970","1,668.970","1,683.110","1,635.000","","0.00%"
"09/27/2024","1,643.970","1,653.270","1,680.095","1,631.635","","0.96%"
"09/26/2024","1,628.270","1,653.270","1,680.000","1,597.980","","0.00%"
"09/25/2024","1,628.270","1,597.980","1,674.000","1,597.980","","1.96%"
"09/24/2024","1,596.980","1,639.200","1,639.200","1,594.070","","-1.07%"
"09/23/2024","1,614.200","1,639.200","1,660.000","1,547.525","","0.00%"
"09/20/2024","1,614.200","1,639.200","1,660.000","1,594.370","","0.00%"
"09/19/2024","1,614.200","1,639.200","1,659.370","1,594.370","","0.00%"
"09/18/2024","1,614.200","1,639.200","1,661.870","1,617.500","","0.00%"
"09/17/2024","1,614.200","1,639.200","1,657.100","1,512.500","","0.00%"
"09/16/2024","1,614.200","1,646.130","1,655.065","1,630.665","","0.00%"
"09/13/2024","1,614.200","1,655.000","1,662.565","1,581.210","","-0.97%"
"09/12/2024","1,630.000","1,655.000","1,665.000","1,497.500","","0.00%"
"09/11/2024","1,630.000","1,645.000","1,655.000","1,606.725","","0.62%"
"09/10/2024","1,620.000","1,645.000","1,649.325","1,592.500","","0.00%"
"09/09/2024","1,620.000","1,621.020","1,649.325","1,600.000","","2.53%"
"09/06/2024","1,580.000","1,605.000","1,640.000","1,601.010","","0.00%"
"09/05/2024","1,580.000","1,605.000","1,625.375","1,588.035","","0.00%"
"09/04/2024","1,580.000","1,590.000","1,617.500","1,580.535","","0.96%"
"09/03/2024","1,565.000","1,590.000","1,610.000","1,582.135","","0.00%"
"09/02/2024","1,565.000","1,598.640","1,606.320","1,582.320","","0.00%"
"08/30/2024","1,565.000","1,590.000","1,608.900","1,582.320","","0.00%"
"08/29/2024","1,565.000","1,590.000","1,611.400","1,579.075","","0.00%"
"08/28/2024","1,565.000","1,590.000","1,612.500","1,576.570","","0.00%"
"08/27/2024","1,565.000","1,590.000","1,610.000","1,576.570","","0.00%"
"08/26/2024","1,565.000","1,592.970","1,603.485","1,569.070","","0.97%"
"08/23/2024","1,550.000","1,575.000","1,608.485","1,560.515","","0.00%"
"08/22/2024","1,550.000","1,575.000","1,600.000","1,560.515","","0.00%"
"08/21/2024","1,550.000","1,575.690","1,606.175","1,563.345","","0.00%"
"08/20/2024","1,550.000","1,590.000","1,608.885","1,558.345","","0.65%"
"08/19/2024","1,540.000","1,585.340","1,624.670","1,557.500","","0.00%"
"08/16/2024","1,540.000","1,590.000","1,622.170","1,560.885","","0.00%"
"08/15/2024","1,540.000","1,590.000","1,609.885","1,557.700","","0.00%"
"08/14/2024","1,540.000","1,590.000","1,615.000","1,555.025","","0.00%"
"08/13/2024","1,540.000","1,590.000","1,611.510","1,552.500","","0.00%"
"08/12/2024","1,540.000","1,590.000","1,616.515","1,555.000","","-2.72%"
"08/09/2024","1,583.030","1,590.000","1,633.040","1,555.000","","2.79%"
"08/08/2024","1,540.000","1,555.000","1,627.760","1,535.000","","4.05%"
"08/07/2024","1,480.000","1,580.000","1,618.260","1,510.000","","-4.52%"
"08/06/2024","1,550.000","1,580.000","1,630.855","1,579.260","","0.00%"
"08/05/2024","1,550.000","1,580.000","1,618.355","1,560.000","","0.00%"
"08/02/2024","1,550.000","1,660.000","1,662.500","1,580.000","","-4.32%"
"08/01/2024","1,620.000","1,660.000","1,665.000","1,608.460","","0.00%"
"07/31/2024","1,620.000","1,660.000","1,670.000","1,605.000","","0.00%"
"07/30/2024","1,620.000","1,620.000","1,660.000","1,591.680","","2.53%"
"07/29/2024","1,580.000","1,620.000","1,630.680","1,550.500","","0.00%"
"07/26/2024","1,580.000","1,620.000","1,629.445","1,542.090","","0.00%"
"07/25/2024","1,580.000","1,620.000","1,622.500","1,305.000","","0.00%"
"07/24/2024","1,580.000","1,625.000","1,625.000","1,534.275","","-0.32%"
"07/23/2024","1,585.000","1,625.000","1,625.000","1,510.000","","0.00%"
"07/22/2024","1,585.000","1,585.800","1,625.000","1,562.500","","0.00%"
"07/19/2024","1,585.000","1,620.000","1,637.500","1,574.450","","0.32%"
"07/18/2024","1,580.000","1,595.000","1,660.000","1,564.745","","1.61%"
"07/17/2024","1,555.000","1,595.000","1,615.000","1,556.000","","0.00%"
"07/16/2024","1,555.000","1,600.000","1,602.805","1,513.500","","-0.32%"
"07/15/2024","1,560.000","1,600.000","1,607.500","1,550.875","","0.00%"
"07/12/2024","1,560.000","1,600.000","1,605.250","1,550.875","","0.00%"
"07/11/2024","1,560.000","1,590.000","1,612.000","1,474.000","","0.65%"
"07/10/2024","1,550.000","1,535.000","1,590.000","1,474.000","","2.99%"
"07/09/2024","1,505.000","1,535.000","1,544.250","1,505.900","","0.00%"
"07/08/2024","1,505.000","1,535.000","1,540.175","1,469.500","","0.00%"
"07/05/2024","1,505.000","1,535.000","1,540.175","1,474.000","","0.00%"
"07/04/2024","1,505.000","1,535.000","1,537.925","1,502.925","","0.00%"
"07/03/2024","1,505.000","1,535.000","1,537.925","1,474.000","","0.00%"
"07/02/2024","1,505.000","1,525.000","1,535.000","1,470.345","","0.67%"
"07/01/2024","1,495.000","1,513.730","1,533.865","1,465.845","","0.00%"
"06/28/2024","1,495.000","1,525.000","1,533.865","1,478.500","","0.00%"
"06/27/2024","1,495.000","1,525.000","1,535.000","1,478.500","","0.00%"
"06/26/2024","1,495.000","1,525.000","1,526.680","1,485.000","","0.00%"
"06/25/2024","1,495.000","1,515.000","1,525.000","1,465.000","","1.01%"
"06/24/2024","1,480.000","1,515.000","1,516.150","1,470.755","","0.00%"
"06/21/2024","1,480.000","1,495.000","1,516.150","1,467.500","","1.37%"
"06/20/2024","1,460.000","1,495.000","1,505.500","1,470.000","","0.00%"
"06/19/2024","1,460.000","1,495.000","1,505.820","1,462.500","","0.00%"
"06/18/2024","1,460.000","1,505.000","1,510.820","1,471.820","","-1.46%"
"06/17/2024","1,481.640","1,482.640","1,486.320","1,482.320","","0.79%"
"06/14/2024","1,470.000","1,525.000","1,525.820","1,470.000","","-0.68%"
"06/13/2024","1,480.000","1,525.000","1,525.025","1,466.000","","0.00%"
"06/12/2024","1,480.000","1,525.000","1,525.500","1,481.025","","0.00%"
"06/11/2024","1,480.000","1,510.000","1,525.320","1,458.400","","1.02%"
"06/10/2024","1,465.000","1,485.820","1,519.910","1,433.400","","4.64%"
"06/07/2024","1,400.000","1,500.000","1,517.410","1,439.585","","-3.45%"
"06/06/2024","1,450.000","1,500.000","1,516.000","1,451.000","","0.00%"
"06/05/2024","1,450.000","1,500.000","1,516.000","1,450.800","","0.00%"
"06/04/2024","1,450.000","1,483.480","1,516.240","1,450.400","","-2.16%"
"06/03/2024","1,482.000","1,485.000","1,507.000","1,462.240","","-0.13%"
"05/31/2024","1,484.000","1,197.100","1,510.000","1,197.050","","24.07%"
"05/30/2024","1,196.100","1,321.000","1,495.000","1,197.050","","-9.39%"
"05/29/2024","1,320.000","1,380.000","1,435.000","1,305.500","","1.46%"
"05/28/2024","1,301.000","1,475.000","1,485.000","1,301.500","","-11.74%"
"05/27/2024","1,474.000","1,475.000","1,507.500","1,468.000","","0.00%"
"05/24/2024","1,474.000","1,468.000","1,480.000","1,467.000","","0.48%"
"05/23/2024","1,467.000","1,440.000","1,488.500","1,415.000","","1.88%"
"05/22/2024","1,440.000","1,416.000","1,470.000","1,416.000","","1.77%"
"05/21/2024","1,415.000","1,530.850","1,530.850","1,416.000","","-7.51%"
"05/20/2024","1,529.850","1,468.000","1,534.425","1,456.000","","4.28%"
"05/17/2024","1,467.000","1,521.000","1,525.000","1,434.500","","-3.49%"
